# x	f(x)	F(x)	error
2.619	-7.39008	-7.32823	-0.0618539
2.6205	-7.40096	-7.34202	-0.0589464
2.622	-7.41077	-7.35476	-0.0560088
2.6235	-7.4195	-7.36646	-0.053042
2.625	-7.42714	-7.3771	-0.0500471
2.6265	-7.4337	-7.38667	-0.047025
2.628	-7.43916	-7.39518	-0.0439769
2.6295	-7.44353	-7.40262	-0.0409037
2.631	-7.44679	-7.40898	-0.0378065
2.6325	-7.44894	-7.41426	-0.0346864
2.634	-7.44999	-7.41844	-0.0315446
2.6355	-7.44992	-7.42153	-0.0283822
2.637	-7.44873	-7.42353	-0.0252002
2.6385	-7.44641	-7.42441	-0.022
2.64	-7.44297	-7.42419	-0.0187825
2.6415	-7.4384	-7.42286	-0.0155491
2.643	-7.4327	-7.4204	-0.0123009
2.6445	-7.42586	-7.41682	-0.00903923
2.646	-7.41787	-7.41211	-0.00576522
2.6475	-7.40875	-7.40627	-0.00248017
2.649	-7.39847	-7.39928	0.000814673
2.6505	-7.38704	-7.39116	0.00411801
2.652	-7.37446	-7.38189	0.00742855
2.6535	-7.36072	-7.37146	0.010745
2.655	-7.34581	-7.35988	0.014066
2.6565	-7.32975	-7.34714	0.0173902
2.658	-7.31251	-7.33323	0.0207164
2.6595	-7.29411	-7.31815	0.024043
2.661	-7.27454	-7.3019	0.0273688
2.6625	-7.25379	-7.28448	0.0306924
2.664	-7.23186	-7.26587	0.0340123
2.6655	-7.20875	-7.24608	0.0373272
2.667	-7.18446	-7.2251	0.0406357
2.6685	-7.15899	-7.20293	0.0439362
2.67	-7.13233	-7.17956	0.0472275
2.6715	-7.10448	-7.15499	0.0505079
2.673	-7.07544	-7.12922	0.0537762
2.6745	-7.04521	-7.10224	0.0570307
2.676	-7.01379	-7.07406	0.06027
2.6775	-6.98117	-7.04466	0.0634928
2.679	-6.94735	-7.01405	0.0666973
2.6805	-6.91234	-6.98222	0.0698822
2.682	-6.87612	-6.94917	0.073046
2.6835	-6.83871	-6.91489	0.0761871
2.685	-6.80009	-6.87939	0.0793041
2.6865	-6.76027	-6.84266	0.0823954
2.688	-6.71924	-6.8047	0.0854594
2.6895	-6.67701	-6.7655	0.0884948
2.691	-6.63357	-6.72507	0.0914998
2.6925	-6.58893	-6.6834	0.0944731
2.694	-6.54307	-6.64049	0.0974131
2.6955	-6.49601	-6.59633	0.100318
2.697	-6.44775	-6.55093	0.103187
2.6985	-6.39827	-6.50429	0.106017
2.7	-6.34759	-6.45639	0.108809
2.7015	-6.29569	-6.40725	0.111559
2.703	-6.24259	-6.35686	0.114266
2.7045	-6.18828	-6.30521	0.11693
2.706	-6.13276	-6.25231	0.119548
2.7075	-6.07604	-6.19816	0.122119
2.709	-6.0181	-6.14274	0.124641
2.7105	-5.95896	-6.08608	0.127112
2.712	-5.89862	-6.02815	0.129532
2.7135	-5.83706	-5.96896	0.131899
2.715	-5.77431	-5.90852	0.134211
2.7165	-5.71035	-5.84681	0.136467
2.718	-5.64518	-5.78385	0.138665
2.7195	-5.57882	-5.71962	0.140804
2.721	-5.51125	-5.65414	0.142882
2.7225	-5.44249	-5.58739	0.144898
2.724	-5.37253	-5.51938	0.146851
2.7255	-5.30137	-5.45011	0.148738
2.727	-5.22902	-5.37958	0.150559
2.7285	-5.15548	-5.30779	0.152312
2.73	-5.08075	-5.23474	0.153996
2.7315	-5.00483	-5.16044	0.155609
2.733	-4.92772	-5.08487	0.15715
2.7345	-4.84943	-5.00805	0.158618
