# x	f(x)	F(x)	error
1.815	-0.155029	-0.254416	0.0993864
1.8165	-0.0885309	-0.185504	0.0969733
1.818	-0.0218224	-0.116347	0.094525
1.8195	0.0450921	-0.0469505	0.0920426
1.821	0.112209	0.0226812	0.0895275
1.8225	0.179524	0.0925427	0.0869808
1.824	0.247032	0.162629	0.0844038
1.8255	0.314731	0.232934	0.0817976
1.827	0.382617	0.303453	0.0791635
1.8285	0.450684	0.374181	0.0765026
1.83	0.518929	0.445112	0.0738163
1.8315	0.587347	0.516242	0.0711057
1.833	0.655935	0.587563	0.0683721
1.8345	0.724689	0.659073	0.0656166
1.836	0.793604	0.730763	0.0628405
1.8375	0.862676	0.802631	0.0600449
1.839	0.9319	0.874669	0.0572311
1.8405	1.00127	0.946872	0.0544003
1.842	1.07079	1.01924	0.0515537
1.8435	1.14045	1.09175	0.0486925
1.845	1.21024	1.16442	0.0458178
1.8465	1.28016	1.23723	0.0429309
1.848	1.35021	1.31018	0.0400329
1.8495	1.42038	1.38326	0.0371251
1.851	1.49067	1.45646	0.0342085
1.8525	1.56107	1.52979	0.0312845
1.854	1.63158	1.60323	0.028354
1.8555	1.7022	1.67678	0.0254183
1.857	1.77291	1.75043	0.0224786
1.8585	1.84372	1.82418	0.0195359
1.86	1.91462	1.89803	0.0165914
1.8615	1.9856	1.97196	0.0136462
1.863	2.05667	2.04597	0.0107015
1.8645	2.12781	2.12005	0.0077583
1.866	2.19903	2.19421	0.00481779
1.8675	2.27031	2.26843	0.00188102
1.869	2.34165	2.3427	-0.00105091
1.8705	2.41305	2.41703	-0.00397693
1.872	2.4845	2.4914	-0.00689598
1.8735	2.55601	2.56581	-0.00980699
1.875	2.62755	2.64026	-0.0127089
1.8765	2.69913	2.71473	-0.0156008
1.878	2.77075	2.78923	-0.0184815
1.8795	2.8424	2.86375	-0.02135
1.881	2.91406	2.93827	-0.0242054
1.8825	2.98575	3.0128	-0.0270466
1.884	3.05745	3.08733	-0.0298727
1.8855	3.12916	3.16185	-0.0326827
1.887	3.20088	3.23636	-0.0354756
1.8885	3.27259	3.31084	-0.0382506
1.89	3.3443	3.38531	-0.0410066
1.8915	3.416	3.45974	-0.0437427
1.893	3.48768	3.53414	-0.046458
1.8945	3.55934	3.60849	-0.0491517
1.896	3.63098	3.6828	-0.0518228
1.8975	3.70258	3.75705	-0.0544705
1.899	3.77415	3.83124	-0.0570939
1.9005	3.84568	3.90537	-0.0596922
1.902	3.91716	3.97942	-0.0622645
1.9035	3.98859	4.0534	-0.06481
1.905	4.05996	4.12729	-0.067328
1.9065	4.13127	4.20109	-0.0698175
1.908	4.20252	4.2748	-0.072278
1.9095	4.27369	4.3484	-0.0747084
1.911	4.34479	4.4219	-0.0771083
1.9125	4.41581	4.49528	-0.0794767
1.914	4.48673	4.56855	-0.081813
1.9155	4.55757	4.64169	-0.0841165
1.917	4.62831	4.7147	-0.0863864
1.9185	4.69895	4.78757	-0.0886222
1.92	4.76947	4.8603	-0.0908231
1.9215	4.83989	4.93288	-0.0929885
1.923	4.91019	5.00531	-0.0951177
1.9245	4.98036	5.07757	-0.0972103
1.926	5.05041	5.14967	-0.0992654
1.9275	5.12032	5.2216	-0.101283
1.929	5.19009	5.29335	-0.103261
1.9305	5.25972	5.36492	-0.105201
1.932	5.3292	5.4363	-0.107101
1.9335	5.39852	5.50748	-0.108961
1.935	5.46769	5.57847	-0.11078
1.9365	5.53669	5.64924	-0.112558
1.938	5.60551	5.71981	-0.114295
1.9395	5.67417	5.79016	-0.11599
1.941	5.74264	5.86028	-0.117641
1.9425	5.81093	5.93018	-0.11925
1.944	5.87902	5.99984	-0.120816
1.9455	5.94692	6.06926	-0.122338
1.947	6.01461	6.13843	-0.123816
1.9485	6.0821	6.20735	-0.125249
1.95	6.14938	6.27601	-0.126637
1.9515	6.21644	6.34442	-0.127981
1.953	6.28327	6.41255	-0.129278
1.9545	6.34988	6.48041	-0.13053
1.956	6.41625	6.54799	-0.131736
1.9575	6.48239	6.61528	-0.132895
1.959	6.54828	6.68229	-0.134008
1.9605	6.61392	6.74899	-0.135073
1.962	6.67931	6.8154	-0.136092
1.9635	6.74444	6.8815	-0.137063
1.965	6.8093	6.94729	-0.137987
1.9665	6.8739	7.01276	-0.138863
1.968	6.93821	7.07791	-0.139691
1.9695	7.00225	7.14273	-0.140472
1.971	7.06601	7.20721	-0.141204
1.9725	7.12947	7.27136	-0.141888
1.974	7.19264	7.33516	-0.142523
1.9755	7.2555	7.39861	-0.14311
1.977	7.31806	7.46171	-0.143648
1.9785	7.38031	7.52445	-0.144138
1.98	7.44224	7.58682	-0.14458
1.9815	7.50385	7.64882	-0.144972
1.983	7.56513	7.71045	-0.145316
1.9845	7.62609	7.7717	-0.145611
1.986	7.6867	7.83256	-0.145858
1.9875	7.74697	7.89303	-0.146056
1.989	7.8069	7.95311	-0.146206
1.9905	7.86648	8.01278	-0.146307
1.992	7.92569	8.07205	-0.146359
1.9935	7.98455	8.13091	-0.146364
1.995	8.04304	8.18936	-0.14632
1.9965	8.10115	8.24738	-0.146228
1.998	8.15889	8.30498	-0.146088
1.9995	8.21625	8.36215	-0.1459
2.001	8.27322	8.41889	-0.145665
2.0025	8.3298	8.47518	-0.145382
2.004	8.38598	8.53103	-0.145052
2.0055	8.44176	8.58644	-0.144674
2.007	8.49714	8.64139	-0.14425
2.0085	8.5521	8.69588	-0.143779
2.01	8.60665	8.74991	-0.143262
2.0115	8.66077	8.80347	-0.142699
2.013	8.71448	8.85657	-0.14209
2.0145	8.76775	8.90918	-0.141435
2.016	8.82058	8.96132	-0.140735
2.0175	8.87298	9.01297	-0.13999
2.019	8.92493	9.06413	-0.139201
2.0205	8.97643	9.11479	-0.138367
2.022	9.02747	9.16496	-0.137489
2.0235	9.07806	9.21463	-0.136567
2.025	9.12819	9.26379	-0.135602
2.0265	9.17785	9.31244	-0.134595
2.028	9.22703	9.36058	-0.133545
2.0295	9.27574	9.40819	-0.132452
2.031	9.32397	9.45529	-0.131319
2.0325	9.37171	9.50185	-0.130143
2.034	9.41896	9.54789	-0.128928
2.0355	9.46572	9.59339	-0.127671
2.037	9.51197	9.63835	-0.126375
2.0385	9.55773	9.68277	-0.12504
2.04	9.60297	9.72664	-0.123665
2.0415	9.64771	9.76996	-0.122252
2.043	9.69193	9.81273	-0.120801
2.0445	9.73562	9.85494	-0.119313
2.046	9.7788	9.89658	-0.117787
2.0475	9.82144	9.93766	-0.116226
2.049	9.86355	9.97818	-0.114628
2.0505	9.90512	10.0181	-0.112995
2.052	9.94615	10.0575	-0.111328
2.0535	9.98664	10.0963	-0.109626
2.055	10.0266	10.1345	-0.10789
2.0565	10.066	10.1721	-0.106122
2.058	10.1048	10.2091	-0.104321
2.0595	10.143	10.2455	-0.102488
2.061	10.1807	10.2814	-0.100624
2.0625	10.2179	10.3166	-0.0987292
2.064	10.2544	10.3512	-0.0968044
2.0655	10.2904	10.3853	-0.0948503
2.067	10.3258	10.4187	-0.0928674
2.0685	10.3606	10.4515	-0.0908564
2.07	10.3948	10.4837	-0.088818
2.0715	10.4285	10.5152	-0.0867527
2.073	10.4615	10.5462	-0.0846613
2.0745	10.494	10.5765	-0.0825444
2.076	10.5258	10.6062	-0.0804027
2.0775	10.557	10.6353	-0.0782369
2.079	10.5876	10.6637	-0.0760476
2.0805	10.6177	10.6915	-0.0738356
2.082	10.647	10.7186	-0.0716015
2.0835	10.6758	10.7452	-0.0693461
2.085	10.704	10.771	-0.06707
2.0865	10.7315	10.7963	-0.064774
2.088	10.7584	10.8209	-0.0624587
2.0895	10.7847	10.8448	-0.0601249
2.091	10.8103	10.8681	-0.0577734
2.0925	10.8353	10.8907	-0.0554048
2.094	10.8596	10.9127	-0.0530198
2.0955	10.8833	10.934	-0.0506193
2.097	10.9064	10.9546	-0.0482039
2.0985	10.9288	10.9746	-0.0457743
2.1	10.9506	10.9939	-0.0433314
2.1015	10.9717	11.0125	-0.0408759
2.103	10.9921	11.0305	-0.0384084
2.1045	11.0119	11.0478	-0.0359299
2.106	11.031	11.0644	-0.0334409
2.1075	11.0494	11.0804	-0.0309423
2.109	11.0672	11.0956	-0.0284348
2.1105	11.0843	11.1102	-0.0259192
2.112	11.1007	11.1241	-0.0233963
2.1135	11.1165	11.1374	-0.0208667
2.115	11.1316	11.1499	-0.0183313
2.1165	11.146	11.1618	-0.0157907
2.118	11.1597	11.1729	-0.0132459
2.1195	11.1727	11.1834	-0.0106975
2.121	11.185	11.1932	-0.00814624
2.1225	11.1967	11.2023	-0.00559296
2.124	11.2076	11.2107	-0.00303839
2.1255	11.2179	11.2184	-0.000483287
2.127	11.2275	11.2254	0.00207159
2.1285	11.2363	11.2317	0.00462549
2.13	11.2445	11.2373	0.00717764
2.1315	11.2519	11.2422	0.0097273
2.133	11.2587	11.2464	0.0122737
2.1345	11.2648	11.2499	0.0148161
2.136	11.2701	11.2527	0.0173538
2.1375	11.2747	11.2549	0.019886
2.139	11.2787	11.2563	0.0224119
2.1405	11.2819	11.2569	0.0249309
2.142	11.2844	11.2569	0.0274421
2.1435	11.2862	11.2562	0.0299449
2.145	11.2872	11.2548	0.0324385
2.1465	11.2876	11.2527	0.0349222
2.148	11.2872	11.2498	0.0373952
2.1495	11.2861	11.2463	0.0398568
2.151	11.2843	11.242	0.0423064
2.1525	11.2818	11.2371	0.0447432
2.154	11.2786	11.2314	0.0471664
2.1555	11.2746	11.225	0.0495754
2.157	11.2699	11.2179	0.0519695
2.1585	11.2645	11.2101	0.054348
2.16	11.2583	11.2016	0.0567101
2.1615	11.2514	11.1924	0.0590553
2.163	11.2438	11.1824	0.0613828
2.1645	11.2355	11.1718	0.0636919
2.166	11.2264	11.1604	0.0659819
2.1675	11.2166	11.1484	0.0682523
2.169	11.2061	11.1356	0.0705023
2.1705	11.1948	11.1221	0.0727313
2.172	11.1829	11.1079	0.0749387
2.1735	11.1702	11.093	0.0771237
2.175	11.1567	11.0774	0.0792859
2.1765	11.1425	11.0611	0.0814244
2.178	11.1276	11.0441	0.0835388
2.1795	11.112	11.0264	0.0856284
2.181	11.0956	11.0079	0.0876926
2.1825	11.0785	10.9888	0.0897307
2.184	11.0607	10.9689	0.0917423
2.1855	11.0421	10.9484	0.0937268
2.187	11.0228	10.9271	0.0956834
2.1885	11.0028	10.9052	0.0976118
2.19	10.9821	10.8825	0.0995112
2.1915	10.9606	10.8592	0.101381
2.193	10.9384	10.8351	0.103221
2.1945	10.9154	10.8104	0.105031
2.196	10.8918	10.785	0.106809
2.1975	10.8674	10.7588	0.108556
2.199	10.8423	10.732	0.110271
2.2005	10.8164	10.7045	0.111954
2.202	10.7899	10.6763	0.113603
2.2035	10.7626	10.6473	0.115219
2.205	10.7346	10.6178	0.1168
2.2065	10.7058	10.5875	0.118348
2.208	10.6764	10.5565	0.11986
2.2095	10.6462	10.5249	0.121337
2.211	10.6153	10.4925	0.122778
2.2125	10.5837	10.4595	0.124183
2.214	10.5514	10.4259	0.125551
2.2155	10.5184	10.3915	0.126883
2.217	10.4846	10.3565	0.128177
2.2185	10.4502	10.3208	0.129433
2.22	10.415	10.2844	0.130651
2.2215	10.3792	10.2473	0.13183
2.223	10.3426	10.2096	0.13297
2.2245	10.3053	10.1713	0.134071
2.226	10.2674	10.1322	0.135133
2.2275	10.2287	10.0925	0.136155
2.229	10.1893	10.0522	0.137136
2.2305	10.1493	10.0112	0.138078
2.232	10.1085	9.96952	0.138978
2.2335	10.0671	9.92722	0.139837
2.235	10.0249	9.88427	0.140655
2.2365	9.98211	9.84068	0.141431
2.238	9.93861	9.79644	0.142166
2.2395	9.89443	9.75157	0.142859
2.241	9.84957	9.70606	0.143509
2.2425	9.80403	9.65992	0.144117
2.244	9.75782	9.61314	0.144682
2.2455	9.71095	9.56574	0.145205
2.247	9.6634	9.51772	0.145684
2.2485	9.61519	9.46907	0.14612
2.25	9.56633	9.41981	0.146513
2.2515	9.5168	9.36993	0.146863
2.253	9.46661	9.31944	0.147169
2.2545	9.41578	9.26835	0.147432
2.256	9.36429	9.21664	0.14765
2.2575	9.31216	9.16434	0.147825
2.259	9.25939	9.11144	0.147956
2.2605	9.20598	9.05794	0.148043
2.262	9.15193	9.00385	0.148086
2.2635	9.09726	8.94917	0.148085
2.265	9.04195	8.89391	0.14804
2.2665	8.98602	8.83807	0.14795
2.268	8.92947	8.78165	0.147817
2.2695	8.8723	8.72466	0.14764
2.271	8.81451	8.66709	0.147418
2.2725	8.75612	8.60897	0.147153
2.274	8.69712	8.55028	0.146843
2.2755	8.63752	8.49103	0.14649
2.277	8.57732	8.43123	0.146093
2.2785	8.51653	8.37088	0.145652
2.28	8.45515	8.30998	0.145167
2.2815	8.39319	8.24855	0.144639
2.283	8.33064	8.18657	0.144068
2.2845	8.26752	8.12406	0.143453
2.286	8.20382	8.06103	0.142795
2.2875	8.13956	7.99747	0.142094
2.289	8.07474	7.93339	0.141351
2.2905	8.00935	7.86879	0.140564
2.292	7.94342	7.80368	0.139736
2.2935	7.87693	7.73807	0.138865
2.295	7.8099	7.67195	0.137952
2.2965	7.74234	7.60534	0.136998
2.298	7.67423	7.53823	0.136002
2.2995	7.6056	7.47064	0.134964
2.301	7.53645	7.40256	0.133886
2.3025	7.46677	7.334	0.132767
2.304	7.39658	7.26497	0.131608
2.3055	7.32588	7.19548	0.130409
2.307	7.25468	7.12551	0.129169
2.3085	7.18298	7.05509	0.127891
2.31	7.11079	6.98422	0.126573
2.3115	7.03811	6.9129	0.125217
2.313	6.96495	6.84113	0.123822
2.3145	6.89131	6.76892	0.122389
2.316	6.8172	6.69629	0.120918
2.3175	6.74263	6.62322	0.11941
2.319	6.6676	6.54973	0.117866
2.3205	6.59211	6.47583	0.116285
2.322	6.51618	6.40151	0.114668
2.3235	6.4398	6.32678	0.113015
2.325	6.36299	6.25166	0.111327
2.3265	6.28574	6.17614	0.109605
2.328	6.20808	6.10023	0.107848
2.3295	6.12999	6.02394	0.106058
2.331	6.0515	5.94726	0.104235
2.3325	5.9726	5.87022	0.102379
2.334	5.89329	5.7928	0.10049
2.3355	5.8136	5.71503	0.0985703
2.337	5.73352	5.6369	0.0966192
2.3385	5.65306	5.55842	0.0946375
2.34	5.57222	5.4796	0.0926258
2.3415	5.49102	5.40044	0.0905846
2.343	5.40946	5.32094	0.0885145
2.3445	5.32754	5.24112	0.086416
2.346	5.24527	5.16098	0.0842899
2.3475	5.16267	5.08053	0.0821365
2.349	5.07973	4.99977	0.0799567
2.3505	4.99646	4.91871	0.0777509
2.352	4.91287	4.83735	0.0755199
2.3535	4.82897	4.75571	0.0732641
2.355	4.74476	4.67378	0.0709844
2.3565	4.66025	4.59157	0.0686813
2.358	4.57545	4.5091	0.0663554
2.3595	4.49037	4.42636	0.0640076
2.361	4.405	4.34336	0.0616383
2.3625	4.31936	4.26012	0.0592483
2.364	4.23346	4.17662	0.0568383
2.3655	4.1473	4.0929	0.054409
2.367	4.0609	4.00894	0.0519611
2.3685	3.97425	3.92475	0.0494952
2.37	3.88736	3.84035	0.0470122
2.3715	3.80025	3.75574	0.0445126
2.373	3.71292	3.67092	0.0419974
2.3745	3.62537	3.5859	0.0394671
2.376	3.53762	3.5007	0.0369225
2.3775	3.44967	3.41531	0.0343644
2.379	3.36153	3.32974	0.0317935
2.3805	3.27321	3.244	0.0292106
2.382	3.18472	3.1581	0.0266165
2.3835	3.09605	3.07204	0.0240118
2.385	3.00723	2.98584	0.0213974
2.3865	2.91826	2.89949	0.0187741
2.388	2.82914	2.813	0.0161426
2.3895	2.73989	2.72639	0.0135037
2.391	2.65051	2.63965	0.0108583
2.3925	2.56101	2.5528	0.00820698
2.394	2.4714	2.46585	0.00555071
2.3955	2.38168	2.37879	0.00289023
2.397	2.29187	2.29164	0.000226349
2.3985	2.20197	2.20441	-0.00244012
2.4	2.11199	2.1171	-0.00510838
2.4015	2.02194	2.02971	-0.0077776
2.403	1.93182	1.94227	-0.010447
2.4045	1.84165	1.85476	-0.0131157
2.406	1.75143	1.76721	-0.015783
