x,interpolated_y
1.8979,10.1352
1.91692,10.4688
1.93594,10.8079
1.95495,11.1527
1.97397,11.5032
1.99299,11.8594
2.01201,12.2214
2.03103,12.5892
2.05005,12.9628
2.06907,13.3424
2.08809,13.7279
2.10711,14.1194
2.12613,14.5169
2.14515,14.9205
2.16416,15.3301
2.18318,15.746
2.2022,16.168
2.22122,16.5962
2.24024,17.0308
2.25926,17.4716
2.27828,17.9188
2.2973,18.3724
2.31632,18.8324
2.33534,19.2989
2.35435,19.7719
2.37337,20.2515
2.39239,20.7377
2.41141,21.2306
2.43043,21.7301
2.44945,22.2363
2.46847,22.7494
2.48749,23.2692
2.50651,23.7959
2.52553,24.3295
2.54454,24.87
2.56356,25.4175
2.58258,25.972
2.6016,26.5336
2.62062,27.1022
2.63964,27.678
2.65866,28.261
2.67768,28.8513
2.6967,29.4487
2.71572,30.0535
2.73473,30.6657
2.75375,31.2852
2.77277,31.9122
2.79179,32.5466
2.81081,33.1886
2.82983,33.8381
2.84885,34.4952
2.86787,35.16
2.88689,35.8324
2.90591,36.5125
2.92492,37.2005
2.94394,37.8962
2.96296,38.5997
2.98198,39.3112
3.001,40.0306
3.02002,40.7579
3.03904,41.4933
3.05806,42.2367
3.07708,42.9882
3.0961,43.7478
3.11512,44.5156
3.13413,45.2916
3.15315,46.0759
3.17217,46.8685
3.19119,47.6694
3.21021,48.4788
3.22923,49.2965
3.24825,50.1227
3.26727,50.9574
3.28629,51.8006
3.30531,52.6525
3.32432,53.5129
3.34334,54.3821
3.36236,55.2599
3.38138,56.1465
3.4004,57.0419
3.41942,57.9462
3.43844,58.8593
3.45746,59.7813
3.47648,60.7123
3.4955,61.6523
3.51451,62.6013
3.53353,63.5594
3.55255,64.5266
3.57157,65.503
3.59059,66.4886
3.60961,67.4835
3.62863,68.4876
3.64765,69.5011
3.66667,70.5239
3.68569,71.5561
3.7047,72.5978
3.72372,73.649
3.74274,74.7097
3.76176,75.78
3.78078,76.86
3.7998,77.9495
3.81882,79.0488
3.83784,80.1578
3.85686,81.2766
3.87588,82.4052
3.89489,83.5437
3.91391,84.692
3.93293,85.8503
3.95195,87.0186
3.97097,88.197
3.98999,89.3854
4.00901,90.5839
4.02803,91.7925
4.04705,93.0114
4.06607,94.2404
4.08509,95.4798
4.1041,96.7294
4.12312,97.9894
4.14214,99.2598
4.16116,100.541
4.18018,101.832
4.1992,103.134
4.21822,104.446
4.23724,105.769
4.25626,107.103
4.27528,108.447
4.29429,109.802
4.31331,111.168
4.33233,112.544
4.35135,113.932
4.37037,115.33
4.38939,116.739
4.40841,118.16
4.42743,119.591
4.44645,121.033
4.46547,122.486
4.48448,123.951
4.5035,125.427
4.52252,126.913
4.54154,128.412
4.56056,129.921
4.57958,131.442
4.5986,132.974
4.61762,134.517
4.63664,136.072
4.65566,137.639
4.67467,139.217
4.69369,140.806
4.71271,142.408
4.73173,144.02
4.75075,145.645
4.76977,147.281
4.78879,148.929
4.80781,150.589
4.82683,152.261
4.84585,153.945
4.86486,155.64
4.88388,157.348
4.9029,159.068
4.92192,160.799
4.94094,162.543
4.95996,164.299
4.97898,166.067
4.998,167.848
5.01702,169.64
5.03604,171.445
5.05506,173.263
5.07407,175.092
5.09309,176.935
5.11211,178.789
5.13113,180.656
5.15015,182.536
5.16917,184.428
5.18819,186.333
5.20721,188.251
5.22623,190.181
5.24525,192.124
5.26426,194.08
5.28328,196.049
5.3023,198.031
5.32132,200.025
5.34034,202.033
5.35936,204.053
5.37838,206.087
5.3974,208.134
5.41642,210.194
5.43544,212.267
5.45445,214.353
5.47347,216.452
5.49249,218.565
5.51151,220.691
5.53053,222.831
5.54955,224.984
5.56857,227.15
5.58759,229.33
5.60661,231.523
5.62563,233.73
5.64464,235.951
5.66366,238.185
5.68268,240.433
5.7017,242.695
5.72072,244.97
5.73974,247.26
5.75876,249.563
5.77778,251.88
5.7968,254.211
5.81582,256.557
5.83483,258.916
5.85385,261.289
5.87287,263.676
5.89189,266.078
5.91091,268.494
5.92993,270.924
5.94895,273.368
5.96797,275.827
5.98699,278.3
6.00601,280.787
6.02503,283.289
6.04404,285.805
6.06306,288.336
6.08208,290.882
6.1011,293.442
6.12012,296.017
6.13914,298.606
6.15816,301.211
6.17718,303.83
6.1962,306.464
6.21522,309.112
6.23423,311.776
6.25325,314.455
6.27227,317.148
6.29129,319.857
6.31031,322.581
6.32933,325.32
6.34835,328.074
6.36737,330.843
6.38639,333.628
6.40541,336.428
6.42442,339.243
6.44344,342.074
6.46246,344.92
6.48148,347.782
6.5005,350.659
6.51952,353.551
6.53854,356.459
6.55756,359.383
6.57658,362.323
6.5956,365.278
6.61461,368.249
6.63363,371.236
6.65265,374.239
6.67167,377.258
6.69069,380.292
6.70971,383.343
6.72873,386.409
6.74775,389.492
6.76677,392.591
6.78579,395.706
6.8048,398.837
6.82382,401.984
6.84284,405.148
6.86186,408.328
6.88088,411.525
6.8999,414.737
6.91892,417.967
6.93794,421.213
6.95696,424.475
6.97598,427.754
6.99499,431.049
7.01401,434.362
7.03303,437.691
7.05205,441.037
7.07107,444.399
7.09009,447.779
7.10911,451.175
7.12813,454.588
7.14715,458.018
7.16617,461.466
7.18519,464.93
7.2042,468.411
7.22322,471.91
7.24224,475.426
7.26126,478.959
7.28028,482.509
7.2993,486.077
7.31832,489.662
7.33734,493.265
7.35636,496.884
7.37538,500.522
7.39439,504.177
7.41341,507.85
7.43243,511.54
7.45145,515.248
7.47047,518.973
7.48949,522.717
7.50851,526.478
7.52753,530.257
7.54655,534.054
7.56557,537.869
7.58458,541.701
7.6036,545.552
7.62262,549.421
7.64164,553.308
7.66066,557.213
7.67968,561.137
7.6987,565.078
7.71772,569.038
7.73674,573.016
7.75576,577.013
7.77477,581.028
7.79379,585.061
7.81281,589.113
7.83183,593.183
7.85085,597.272
7.86987,601.38
7.88889,605.506
7.90791,609.651
7.92693,613.814
