-7,-7.634e+07
-6.9,-6.6825e+07
-6.8,-5.83784e+07
-6.7,-5.0894e+07
-6.6,-4.42744e+07
-6.5,-3.8431e+07
-6.4,-3.32829e+07
-6.3,-2.87567e+07
-6.2,-2.47857e+07
-6.1,-2.13094e+07
-6,-1.8273e+07
-5.9,-1.56271e+07
-5.8,-1.3327e+07
-5.7,-1.13326e+07
-5.6,-9.60766e+06
-5.5,-8.11988e+06
-5.4,-6.84024e+06
-5.3,-5.74282e+06
-5.2,-4.80453e+06
-5.1,-4.00482e+06
-5,-3.32547e+06
-4.9,-2.75034e+06
-4.8,-2.26519e+06
-4.7,-1.85747e+06
-4.6,-1.51616e+06
-4.5,-1.23162e+06
-4.4,-995432
-4.3,-800257
-4.2,-639743
-4.1,-508394
-4,-401479
-3.9,-314938
-3.8,-245303
-3.7,-189622
-3.6,-145397
-3.5,-110520
-3.4,-83224.9
-3.3,-62037.4
-3.2,-45735.4
-3.1,-33311.5
-3,-23940.8
-2.9,-16952.4
-2.8,-11805.1
-2.7,-8065.53
-2.6,-5390.17
-2.5,-3509.03
-2.4,-2212.27
-2.3,-1338.72
-2.2,-766.165
-2.1,-403.269
-2,-182.9
-1.9,-56.6261
-1.8,9.73607
-1.7,39.6991
-1.6,48.9371
-1.5,47.4953
-1.4,41.4855
-1.3,34.3605
-1.2,27.8514
-1.1,22.6358
-1,18.8
-0.9,16.1429
-0.8,14.3647
-0.7,13.1734
-0.6,12.3356
-0.5,11.6922
-0.4,11.1525
-0.3,10.6793
-0.2,10.2702
-0.1,9.93888
-8.13238e-15,9.7
0.1,9.55762
0.2,9.49861
0.3,9.49291
0.4,9.50375
0.5,9.51406
0.6,9.57795
0.7,9.91092
0.8,11.0373
0.9,14.0195
1,20.8
1.1,34.6961
1.2,61.0938
1.3,108.399
1.4,189.313
1.5,322.511
1.6,534.813
1.7,863.953
1.8,1362.06
1.9,2100.01
2,3172.7
2.1,4705.59
2.2,6862.48
2.3,9854.92
2.4,13953.3
2.5,19499.8
2.6,26924.3
2.7,36761.5
2.8,49672.4
2.9,66467.8
3,88135.6
3.1,115873
3.2,151120
3.3,195603
3.4,251378
3.5,320882
3.6,406991
3.7,513082
3.8,643110
3.9,801681
4,994141
4.1,1.22668e+06
4.2,1.50642e+06
4.3,1.84157e+06
4.4,2.24151e+06
4.5,2.71697e+06
4.6,3.28014e+06
4.7,3.94491e+06
4.8,4.72697e+06
4.9,5.64408e+06
5,6.71624e+06
5.1,7.96594e+06
5.2,9.41844e+06
5.3,1.1102e+07
5.4,1.30482e+07
5.5,1.52922e+07
5.6,1.78732e+07
5.7,2.08348e+07
5.8,2.42252e+07
5.9,2.80978e+07
6,3.25118e+07
6.1,3.75321e+07
6.2,4.32305e+07
6.3,4.96861e+07
6.4,5.69853e+07
6.5,6.52232e+07
6.6,7.4504e+07
6.7,8.49413e+07
6.8,9.66595e+07
6.9,1.09794e+08
7,1.24493e+08
7.1,1.40917e+08
7.2,1.5924e+08
7.3,1.79653e+08
7.4,2.0236e+08
7.5,2.27586e+08
7.6,2.5557e+08
7.7,2.86573e+08
7.8,3.20877e+08
7.9,3.58786e+08
8,4.00626e+08
8.1,4.46751e+08
8.2,4.9754e+08
8.3,5.53399e+08
8.4,6.14768e+08
8.5,6.82115e+08
8.6,7.55945e+08
8.7,8.36798e+08
8.8,9.25251e+08
8.9,1.02192e+09
9,1.12747e+09
9.1,1.24261e+09
9.2,1.36808e+09
9.3,1.5047e+09
9.4,1.65332e+09
9.5,1.81485e+09
9.6,1.99026e+09
9.7,2.18058e+09
9.8,2.38692e+09
9.9,2.61045e+09
10,2.85239e+09
